EventName,Detectors,SkyArea,MeanDistance,MaxDistance,LogBCI,LogBSN,GlitchScore,NSScore,BBHScore,GlitchScoreErr,NSScoreErr,BBHScoreErr,HierarchicalClass
S230518h,HL,1002.0,276.0,473.0,6.7,44.5,1.0,81.0,15.0,0.0,7.0,5.0,NS
S230520ae,HL,1716.0,1974.0,3432.0,7.5,62.5,2.0,0.0,100.0,6.0,0.0,0.0,BBH
S230521k,HL,4716.0,454.0,861.0,1.7,6.0,98.0,1.0,0.0,1.0,1.0,0.0,Glitch
S230522a,L,24219.0,3102.0,5682.0,-0.0,28.6,94.0,0.0,0.0,15.0,0.0,0.0,Glitch
S230522n,L,24226.0,2928.0,5628.0,-0.0,12.8,99.0,0.0,0.0,3.0,0.0,0.0,Glitch
S230524b,L,24225.0,2437.0,4664.0,-0.0,13.5,99.0,0.0,0.0,2.0,0.0,0.0,Glitch
S230524x,HL,9319.0,84.0,170.0,4.1,7.5,87.0,71.0,0.0,14.0,17.0,0.0,Glitch
S230525a,L,24219.0,1166.0,2142.0,-0.0,26.2,99.0,0.0,0.0,3.0,0.0,0.0,Glitch
S230527bv,HL,3318.0,3876.0,8943.0,-0.5,14.8,90.0,0.0,100.0,14.0,0.0,0.0,Glitch
S230528a,HL,1787.0,261.0,530.0,2.9,19.0,61.0,40.0,6.0,22.0,13.0,2.0,Glitch
S230528bt,HL,6597.0,7412.0,13632.0,3.7,13.4,30.0,0.0,95.0,20.0,0.0,22.0,BBH
S230529p,HL,1611.0,664.0,1181.0,5.7,11.7,11.0,31.0,38.0,7.0,12.0,16.0,BBH
S230529ay,L,24219.0,217.0,396.0,-0.0,32.9,100.0,8.0,0.0,1.0,22.0,0.0,Glitch
S230601bf,HL,2109.0,3578.0,6074.0,7.8,40.7,1.0,0.0,100.0,1.0,0.0,0.0,BBH
S230603aa,HL,3566.0,483.0,867.0,5.4,12.4,58.0,23.0,0.0,13.0,15.0,1.0,Glitch
S230604z,HL,2481.0,392.0,895.0,-3.2,8.2,98.0,0.0,0.0,6.0,0.0,0.0,Glitch
S230605o,HL,1371.0,1096.0,1928.0,5.2,23.7,1.0,2.0,94.0,1.0,1.0,5.0,BBH
S230606d,HL,1286.0,1818.0,3212.0,3.0,25.4,41.0,0.0,99.0,22.0,0.0,2.0,Glitch
S230606z,HL,5989.0,4497.0,9555.0,0.0,33.9,96.0,0.0,100.0,5.0,0.0,0.0,Glitch
S230608q,HL,2542.0,351.0,635.0,5.1,13.8,34.0,63.0,3.0,26.0,29.0,4.0,NS
S230608aa,HL,1708.0,608.0,1090.0,5.6,12.9,7.0,34.0,32.0,4.0,15.0,18.0,BBH
S230608ah,HL,3478.0,232.0,481.0,-0.3,11.6,94.0,8.0,0.0,13.0,9.0,0.0,Glitch
S230608as,HL,2217.0,3193.0,5582.0,5.0,20.4,11.0,0.0,100.0,5.0,0.0,0.0,BBH
S230609a,HL,3507.0,4537.0,8120.0,4.6,8.8,40.0,0.0,100.0,10.0,0.0,0.0,BBH
S230609u,HL,1918.0,2799.0,4904.0,5.2,21.2,6.0,0.0,100.0,3.0,0.0,0.0,BBH
S230611l,HL,2245.0,1004.0,1828.0,5.0,10.4,37.0,2.0,56.0,22.0,2.0,33.0,Glitch
S230611be,HL,3345.0,4045.0,7377.0,3.3,5.4,81.0,0.0,99.0,11.0,0.0,2.0,Glitch
S230614t,HL,16024.0,1256.0,2774.0,-1.5,1.8,100.0,0.0,0.0,0.0,0.0,0.0,Glitch
S230614ac,HL,12493.0,2207.0,4258.0,-1.2,3.7,99.0,0.0,0.0,2.0,0.0,0.0,Glitch
S230615i,HL,6347.0,722.0,1246.0,3.1,3.1,97.0,1.0,0.0,2.0,0.0,0.0,Glitch
S230615k,HL,603.0,361.0,650.0,-1.8,15.7,89.0,0.0,1.0,22.0,0.0,0.0,Glitch
S230615t,HL,5750.0,5914.0,10722.0,3.5,6.1,92.0,0.0,52.0,8.0,0.0,45.0,Glitch
S230615af,HL,1373.0,342.0,615.0,5.2,10.4,24.0,72.0,16.0,22.0,20.0,6.0,NS
S230615ak,HL,1146.0,662.0,1181.0,1.7,10.4,30.0,1.0,14.0,16.0,1.0,9.0,Glitch
S230615an,HL,1868.0,516.0,930.0,5.1,9.7,22.0,50.0,18.0,12.0,24.0,14.0,BBH
S230615av,HL,7017.0,12726.0,23479.0,3.9,9.8,16.0,0.0,100.0,16.0,0.0,0.0,BBH
S230615az,HL,4416.0,260.0,592.0,-2.1,8.5,100.0,0.0,0.0,1.0,0.0,0.0,Glitch
S230616aa,HL,8199.0,239.0,565.0,-2.6,11.1,99.0,1.0,0.0,3.0,2.0,0.0,Glitch
S230617ab,HL,1335.0,324.0,581.0,2.8,10.9,66.0,24.0,7.0,24.0,9.0,3.0,Glitch
S230617aj,HL,6405.0,2594.0,4920.0,3.1,7.7,88.0,0.0,1.0,10.0,0.0,3.0,Glitch
S230617aq,HL,1588.0,1107.0,1967.0,5.4,10.2,10.0,2.0,81.0,5.0,2.0,11.0,BBH
S230617ba,HL,6610.0,431.0,842.0,2.0,15.0,97.0,2.0,0.0,2.0,1.0,0.0,Glitch
S230617bc,HL,2094.0,328.0,644.0,2.2,12.6,48.0,31.0,2.0,23.0,13.0,2.0,Glitch
S230618d,HL,1590.0,433.0,793.0,4.4,6.4,29.0,63.0,11.0,19.0,22.0,9.0,NS
S230618k,HL,6686.0,886.0,1750.0,1.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,Glitch
S230618r,HL,2065.0,2076.0,3719.0,5.2,10.5,20.0,0.0,88.0,15.0,0.0,30.0,BBH
S230618y,HL,5326.0,3123.0,5709.0,3.2,8.6,91.0,0.0,9.0,5.0,0.0,20.0,Glitch
S230618ae,HL,2008.0,391.0,706.0,4.2,10.4,39.0,59.0,5.0,18.0,17.0,4.0,Glitch
S230618at,HL,1400.0,703.0,1253.0,5.5,9.4,8.0,41.0,40.0,5.0,15.0,19.0,BBH
S230618az,HL,1385.0,326.0,582.0,5.6,12.0,5.0,84.0,11.0,5.0,11.0,7.0,NS
S230618ba,HL,14678.0,1286.0,2350.0,-0.3,2.9,99.0,0.0,0.0,1.0,0.0,0.0,Glitch
S230619i,HL,2242.0,356.0,639.0,4.9,11.8,24.0,75.0,4.0,9.0,13.0,4.0,NS
S230619aa,HL,13889.0,580.0,962.0,2.0,0.5,95.0,1.0,0.0,5.0,2.0,0.0,Glitch
S230619ap,HL,3789.0,677.0,1235.0,4.4,12.7,67.0,4.0,0.0,13.0,4.0,0.0,Glitch
S230619ay,HL,10595.0,470.0,895.0,2.7,6.7,97.0,5.0,0.0,5.0,6.0,0.0,Glitch
S230619bd,HL,5850.0,526.0,880.0,3.2,1.8,99.0,1.0,0.0,1.0,1.0,0.0,Glitch
S230619bg,HL,3336.0,175.0,316.0,3.3,15.1,94.0,40.0,0.0,4.0,16.0,0.0,Glitch
S230620ad,HL,2863.0,644.0,1233.0,3.8,12.3,20.0,14.0,1.0,16.0,18.0,2.0,BBH
S230620au,HL,3423.0,10818.0,19208.0,3.8,5.8,33.0,0.0,100.0,15.0,0.0,0.0,BBH
S230621n,HL,3256.0,483.0,877.0,5.0,11.5,54.0,25.0,1.0,15.0,15.0,1.0,Glitch
S230621ap,HL,6110.0,368.0,689.0,1.6,4.7,96.0,1.0,0.0,3.0,1.0,0.0,Glitch
S230621bn,HL,1891.0,235.0,417.0,3.8,10.5,39.0,63.0,4.0,13.0,12.0,2.0,Glitch
S230622i,HL,9769.0,1129.0,2299.0,0.2,3.3,100.0,0.0,0.0,0.0,0.0,0.0,Glitch
S230622u,HL,2057.0,257.0,463.0,5.2,9.8,38.0,80.0,2.0,13.0,16.0,2.0,Glitch
S230622ah,HL,1266.0,419.0,768.0,5.1,9.7,9.0,77.0,23.0,7.0,21.0,9.0,NS
