EventName,GPSTime,FAR,Significant,GDB_GlitchScore,GDB_BNSScore,GDB_NSBHScore,GDB_BBHScore,GDB_Class
S230518h,1368449966.2,0.01,True,10.0,0.0,86.0,4.0,NS
S230520ae,1368658140.6,0.097,True,0.0,0.0,0.0,100.0,BBH
S230521k,1368682261.1,76.351,False,60.0,25.0,14.0,0.0,Glitch
S230522a,1368783503.1,0.326,True,0.0,0.0,0.0,100.0,BBH
S230522n,1368804651.4,0.204,True,1.0,0.0,0.0,99.0,BBH
S230524b,1368944018.2,26.038,False,27.0,0.0,0.0,73.0,BBH
S230524x,1368994979.8,2.279,True,25.0,75.0,0.0,0.0,NS
S230525a,1369017515.9,23.698,False,28.0,0.0,0.0,72.0,BBH
S230527bv,1369243547.8,6.534,False,12.0,0.0,0.0,88.0,BBH
S230528a,1369276052.8,9.584,False,36.0,20.0,44.0,0.0,NS
S230528bt,1369320707.7,9.059,False,12.0,0.0,0.0,88.0,BBH
S230529p,1369391282.7,19.831,False,97.0,0.0,2.0,0.0,Glitch
S230529ay,1369419318.7,0.006,True,7.0,31.0,62.0,0.0,NS
S230601bf,1369694512.1,0.0,True,0.0,0.0,0.0,100.0,BBH
S230603aa,1369812903.1,36.415,False,97.0,0.0,3.0,1.0,Glitch
S230604z,1369905649.3,8.495,False,25.0,0.0,4.0,71.0,BBH
S230605o,1369983241.5,0.143,True,1.0,0.0,0.0,99.0,BBH
S230606d,1370047403.8,0.36,True,0.0,0.0,0.0,100.0,BBH
S230606z,1370069618.1,13.104,False,17.0,0.0,0.0,83.0,BBH
S230608q,1370251343.9,49.892,False,99.0,0.0,1.0,0.0,Glitch
S230608aa,1370282696.9,21.689,False,96.0,0.0,3.0,1.0,Glitch
S230608ah,1370286400.6,15.508,False,98.0,2.0,0.0,0.0,Glitch
S230608as,1370292665.2,0.004,True,0.0,0.0,0.0,100.0,BBH
S230609a,1370308122.4,2.52,False,4.0,0.0,0.0,96.0,BBH
S230609u,1370328616.3,0.317,True,4.0,0.0,0.0,96.0,BBH
S230611l,1370499691.8,68.035,False,98.0,0.0,1.0,1.0,Glitch
S230611be,1370552081.8,87.32,False,57.0,0.0,0.0,43.0,Glitch
S230614t,1370787400.8,557.97,False,91.0,0.0,6.0,4.0,Glitch
S230614ac,1370793489.7,704.912,False,93.0,0.0,1.0,6.0,Glitch
S230615i,1370849230.5,412.006,False,78.0,2.0,20.0,0.0,Glitch
S230615k,1370849849.1,207.97,False,91.0,0.0,6.0,3.0,Glitch
S230615t,1370859707.2,291.32,False,82.0,0.0,0.0,18.0,Glitch
S230615af,1370868868.4,169.408,False,99.0,1.0,0.0,0.0,Glitch
S230615ak,1370870741.7,152.974,False,92.0,0.0,3.0,5.0,Glitch
S230615an,1370871340.2,559.105,False,100.0,0.0,0.0,0.0,Glitch
S230615av,1370880524.0,4.564,False,9.0,0.0,0.0,91.0,BBH
S230615az,1370886626.7,4.705,False,15.0,85.0,0.0,0.0,NS
S230616aa,1370957871.2,724.136,False,100.0,0.0,0.0,0.0,Glitch
S230617ab,1371034268.6,365.668,False,100.0,0.0,0.0,0.0,Glitch
S230617aj,1371039807.6,435.448,False,89.0,0.0,0.0,11.0,Glitch
S230617aq,1371053889.1,191.187,False,99.0,0.0,0.0,0.0,Glitch
S230617ba,1371075368.0,184.62,False,87.0,0.0,2.0,11.0,Glitch
S230617bc,1371075385.1,55.437,False,66.0,27.0,7.0,0.0,Glitch
S230618d,1371091367.4,591.108,False,100.0,0.0,0.0,0.0,Glitch
S230618k,1371099485.8,235.081,False,78.0,0.0,0.0,22.0,Glitch
S230618r,1371114465.9,490.378,False,97.0,0.0,0.0,3.0,Glitch
S230618y,1371119168.0,464.768,False,87.0,0.0,0.0,13.0,Glitch
S230618ae,1371122628.2,299.104,False,100.0,0.0,0.0,0.0,Glitch
S230618at,1371146280.6,266.635,False,100.0,0.0,0.0,0.0,Glitch
S230618az,1371150557.3,449.11,False,100.0,0.0,0.0,0.0,Glitch
S230618ba,1371151823.7,81.11,False,57.0,0.0,29.0,14.0,Glitch
S230619i,1371180799.8,130.675,False,99.0,1.0,0.0,0.0,Glitch
S230619aa,1371190244.3,248.509,False,62.0,36.0,2.0,0.0,Glitch
S230619ap,1371210555.4,156.135,False,91.0,0.0,0.0,9.0,Glitch
S230619ay,1371236089.9,627.777,False,90.0,0.0,6.0,4.0,Glitch
S230619bd,1371237924.4,608.981,False,81.0,18.0,0.0,0.0,Glitch
S230619bg,1371253285.1,559.89,False,97.0,0.0,0.0,3.0,Glitch
S230620ad,1371268272.2,197.304,False,86.0,0.0,12.0,2.0,Glitch
S230620au,1371297488.1,139.664,False,67.0,0.0,0.0,33.0,Glitch
S230621n,1371354535.1,124.96,False,99.0,0.0,0.0,0.0,Glitch
S230621ap,1371375702.9,497.787,False,90.0,10.0,0.0,0.0,Glitch
S230621bn,1371425726.3,434.02,False,100.0,0.0,0.0,0.0,Glitch
S230622i,1371437158.0,447.758,False,89.0,0.0,9.0,2.0,Glitch
S230622u,1371449681.8,462.108,False,100.0,0.0,0.0,0.0,Glitch
S230622ah,1371459523.2,104.65,False,99.0,1.0,0.0,0.0,Glitch
S230622ba,1371479754.7,1.634,True,13.0,0.0,0.0,87.0,BBH
S230622bb,1371480279.5,77.941,False,83.0,0.0,0.0,17.0,Glitch
S230622be,1371484860.1,661.665,False,93.0,0.0,0.0,7.0,Glitch
S230622bk,1371487623.4,523.55,False,97.0,0.0,0.0,3.0,Glitch
